reference,session,group,crop_start,length,weight,temporal_variance,speed_abs,minimum,maximum
listener/session0/Camera-2024-07-04-103805-103835,session0,expression,207,750,0.0006024096385542168,0.04459256502426169,0.02931099507283503,5.20721465937977e-19,0.9999954700469971
listener/session0/Camera-2024-07-04-112307-112347,session0,AU,72,750,0.0006024096385542168,0.14876475300400535,0.03204272363150868,0.0,1.0
listener/session0/Camera-2024-07-04-112307-112347,session0,VA,72,750,0.0006024096385542168,0.02371104515156962,0.048334721045615835,-0.6705839037895203,0.5699551701545715
listener/session0/Camera-2024-07-04-112307-112347,session0,expression,72,750,0.0006024096385542168,0.05511732337045651,0.03249362096525779,2.1365453182424065e-15,0.999961256980896
listener/session0/Camera-2024-07-04-120006-120008,session0,AU,235,750,0.0006024096385542168,0.05402118380062304,0.025456163773920782,0.0,1.0
listener/session0/Camera-2024-07-04-120006-120008,session0,VA,235,750,0.0006024096385542168,0.006595458328923647,0.025671524889717433,-0.40043357014656067,0.5814453363418579
listener/session0/Camera-2024-07-04-120006-120008,session0,expression,235,750,0.0006024096385542168,0.04210370951776357,0.031214787719810663,2.6813186941720725e-17,0.9998363256454468
listener/session0/Camera-2024-07-08-120627-120613,session0,AU,507,750,0.0006024096385542168,0.037539712208871104,0.009612817089452604,0.0,1.0
listener/session0/Camera-2024-07-08-120627-120613,session0,VA,507,750,0.0006024096385542168,0.010919126588654208,0.03752717201178955,-0.5802813172340393,0.5502360463142395
listener/session0/Camera-2024-07-08-120627-120613,session0,expression,507,750,0.0006024096385542168,0.023387518430169153,0.031975262029714804,5.675471471183535e-18,0.9999585151672363
listener/session0/Camera-2024-07-08-143054-143035,session0,AU,0,750,0.0006024096385542168,0.022770390149829414,0.008633733867378727,0.0,1.0
listener/session0/Camera-2024-07-08-143054-143035,session0,VA,0,750,0.0006024096385542168,0.012924760951015593,0.035416954111193465,-0.8133463859558105,0.6246596574783325
listener/session0/Camera-2024-07-08-143054-143035,session0,expression,0,750,0.0006024096385542168,0.04431354301294886,0.047311281699896575,2.754793463656535e-13,0.9999706745147705
listener/session0/Camera-2024-07-08-151240-151227,session0,AU,0,721,0.0006024096385542168,0.06991113165870447,0.017777777777777778,0.0,1.0
listener/session0/Camera-2024-07-08-151240-151227,session0,VA,0,721,0.0006024096385542168,0.031118981107852446,0.04483330437861797,-0.6006309986114502,0.6468316912651062
listener/session0/Camera-2024-07-08-151240-151227,session0,expression,0,721,0.0006024096385542168,0.03722064978631455,0.02800924438694398,4.612309882981447e-14,0.9999141693115234
listener/session0/Camera-2024-07-09-100427-100257,session0,AU,38,750,0.0006024096385542168,0.06788417148790983,0.01833555852247441,0.0,1.0
listener/session0/Camera-2024-07-09-100427-100257,session0,VA,38,750,0.0006024096385542168,0.03445538506721741,0.031463800995388085,-0.4049983024597168,0.8026636242866516
listener/session0/Camera-2024-07-09-100427-100257,session0,expression,38,750,0.0006024096385542168,0.04283111643458874,0.0263243224315188,1.393300080344828e-13,0.9999996423721313
listener/session0/Camera-2024-07-09-104540-104439,session0,AU,0,637,0.0006024096385542168,0.06932226204463403,0.010167714884696017,0.0,1.0
listener/session0/Camera-2024-07-09-104540-104439,session0,VA,0,637,0.0006024096385542168,0.016216551267740638,0.020090333733754524,-0.448108047246933,0.3861655592918396
listener/session0/Camera-2024-07-09-104540-104439,session0,expression,0,637,0.0006024096385542168,0.016487089914512112,0.006410267185279302,1.8828928318576337e-15,0.9999960660934448
listener/session0/Camera-2024-07-09-111741-111806,session0,AU,49,750,0.0006024096385542168,0.1442273846610295,0.017445482866043614,0.0,1.0
listener/session0/Camera-2024-07-09-111741-111806,session0,VA,49,750,0.0006024096385542168,0.06325814261588741,0.03438274741660212,-0.5111081600189209,0.7758457660675049
listener/session0/Camera-2024-07-09-111741-111806,session0,expression,49,750,0.0006024096385542168,0.06753372203793546,0.013076955483572433,4.8567467124423304e-18,0.9999991655349731
listener/session0/Camera-2024-07-09-134253-134210,session0,AU,0,602,0.0006024096385542168,0.07866438917787448,0.01819190238491403,0.0,1.0
listener/session0/Camera-2024-07-09-134253-134210,session0,VA,0,602,0.0006024096385542168,0.03203145210678758,0.04780142215667866,-0.7493284940719604,0.6000383496284485
listener/session0/Camera-2024-07-09-134253-134210,session0,expression,0,602,0.0006024096385542168,0.03537897091386051,0.022247163166478977,2.6867846123390833e-14,0.999998927116394
listener/session0/Camera-2024-07-09-142938-142853,session0,AU,156,750,0.0006024096385542168,0.01722794837561193,0.01041388518024032,0.0,1.0
listener/session0/Camera-2024-07-09-142938-142853,session0,VA,156,750,0.0006024096385542168,0.003643970697384086,0.0229489247305928,-0.358614057302475,0.28237825632095337
listener/session0/Camera-2024-07-09-142938-142853,session0,expression,156,750,0.0006024096385542168,0.0142022262261722,0.016485415231513163,1.7502747891301592e-15,0.999213695526123
listener/session0/Camera-2024-07-09-151245-151110,session0,AU,147,750,0.0006024096385542168,0.09618216881768281,0.016911437472185136,0.0,1.0
listener/session0/Camera-2024-07-09-151245-151110,session0,VA,147,750,0.0006024096385542168,0.021975801928926134,0.02530274151243737,-0.24009853601455688,0.6495312452316284
listener/session0/Camera-2024-07-09-151245-151110,session0,expression,147,750,0.0006024096385542168,0.05202714487534144,0.009610419558820917,3.1293269600329583e-16,0.9999936819076538
listener/session0/Camera-2024-07-10-134814-134720,session0,AU,190,750,0.0006024096385542168,0.06545106067349056,0.011748998664886516,0.0,1.0
listener/session0/Camera-2024-07-10-134814-134720,session0,VA,190,750,0.0006024096385542168,0.06323354425488466,0.027318581456296117,-0.6302448511123657,0.8641934394836426
listener/session0/Camera-2024-07-10-134814-134720,session0,expression,190,750,0.0006024096385542168,0.05591775177480685,0.009759437335650538,7.90080398857288e-20,1.0
listener/session0/Camera-2024-07-10-142319-142203,session0,AU,49,750,0.0006024096385542168,0.04647381694110666,0.016822429906542057,0.0,1.0
listener/session0/Camera-2024-07-10-142319-142203,session0,VA,49,750,0.0006024096385542168,0.0223546826300589,0.03371526544369031,-0.5327619314193726,0.58609938621521
listener/session0/Camera-2024-07-10-142319-142203,session0,expression,49,750,0.0006024096385542168,0.0257103894442538,0.020638738630152087,5.186178177581319e-15,0.9999958276748657
listener/session0/Camera-2024-07-10-150927-150804,session0,AU,253,750,0.0006024096385542168,0.002820709093606289,0.0019581664441477528,0.0,1.0
listener/session0/Camera-2024-07-10-150927-150804,session0,VA,253,750,0.0006024096385542168,0.006536213760298219,0.024471546293240047,-0.4951997697353363,0.3614160418510437
listener/session0/Camera-2024-07-10-150927-150804,session0,expression,253,750,0.0006024096385542168,0.008377308090898138,0.01497149208035267,5.527141236945373e-19,0.9999961853027344
listener/session0/Camera-2024-07-10-154722-154626,session0,AU,29,750,0.0006024096385542168,0.04374496365524401,0.014775255896751225,0.0,1.0
listener/session0/Camera-2024-07-10-154722-154626,session0,VA,29,750,0.0006024096385542168,0.00696443123915853,0.02899716200632788,-0.30138248205184937,0.3698333501815796
listener/session0/Camera-2024-07-10-154722-154626,session0,expression,29,750,0.0006024096385542168,0.007386648396159997,0.01434252080283162,1.4237115065907492e-17,0.999983549118042
listener/session0/Camera-2024-07-11-094209-094215,session0,AU,16,750,0.0006024096385542168,0.1120181575433912,0.021628838451268357,0.0,1.0
listener/session0/Camera-2024-07-11-094209-094215,session0,VA,16,750,0.0006024096385542168,0.03669788699086882,0.02930864336613183,-0.5340310335159302,0.8212105631828308
listener/session0/Camera-2024-07-11-094209-094215,session0,expression,16,750,0.0006024096385542168,0.04656620214104443,0.02217083046525456,2.3940195114060723e-16,0.9999979734420776
listener/session0/Camera-2024-07-11-103159-103100,session0,AU,11,750,0.0006024096385542168,0.004307491470108287,8.900756564307967e-05,0.0,1.0
listener/session0/Camera-2024-07-11-103159-103100,session0,VA,11,750,0.0006024096385542168,0.01708655782252723,0.034826609200346616,-0.6896718144416809,0.296960711479187
listener/session0/Camera-2024-07-11-103159-103100,session0,expression,11,750,0.0006024096385542168,0.04276745574711308,0.031148869748289114,2.155710762163015e-17,0.9999650716781616
listener/session0/Camera-2024-07-11-111326-111141,session0,AU,114,750,0.0006024096385542168,0.03780329327992879,0.015309301290609702,0.0,1.0
listener/session0/Camera-2024-07-11-111326-111141,session0,VA,114,750,0.0006024096385542168,0.004997408221559413,0.021355492180991715,-0.31861135363578796,0.18826408684253693
listener/session0/Camera-2024-07-11-111326-111141,session0,expression,114,750,0.0006024096385542168,0.026276426791372483,0.03243567942867005,1.4980769717180126e-13,0.9745914936065674
listener/session0/Camera-2024-07-11-120318-120232,session0,AU,103,750,0.0006024096385542168,0.07628755377540426,0.02385402759234535,0.0,1.0
listener/session0/Camera-2024-07-11-120318-120232,session0,VA,103,750,0.0006024096385542168,0.01482247562393191,0.037548567515329145,-0.4645138084888458,0.6241190433502197
listener/session0/Camera-2024-07-11-120318-120232,session0,expression,103,750,0.0006024096385542168,0.027227358950758753,0.036476847470359064,1.0085177051116778e-12,0.9999492168426514
listener/session0/Camera-2024-07-11-134401-134311,session0,AU,732,750,0.0006024096385542168,0.0508286604361371,0.020115709835336004,0.0,1.0
listener/session0/Camera-2024-07-11-134401-134311,session0,VA,732,750,0.0006024096385542168,0.02441749120198412,0.03337526145840041,-1.0,0.6399465799331665
listener/session0/Camera-2024-07-11-134401-134311,session0,expression,732,750,0.0006024096385542168,0.03672356497949307,0.021933801473420056,5.372267822082181e-16,1.0
listener/session0/Camera-2024-07-11-142837-142758,session0,AU,59,750,0.0006024096385542168,0.0895438658952678,0.006497552291944816,0.0,1.0
listener/session0/Camera-2024-07-11-142837-142758,session0,VA,59,750,0.0006024096385542168,0.02556580217295447,0.02938775730895025,-0.386637419462204,0.6628087162971497
listener/session0/Camera-2024-07-11-142837-142758,session0,expression,59,750,0.0006024096385542168,0.048230367714276384,0.014269689050048079,4.953063622968005e-18,0.9999938011169434
listener/session0/Camera-2024-07-11-154330-154400,session0,AU,47,750,0.0006024096385542168,0.1325456757157692,0.02643524699599466,0.0,1.0
listener/session0/Camera-2024-07-11-154330-154400,session0,VA,47,750,0.0006024096385542168,0.06784344306853796,0.048111495078206855,-0.6162423491477966,0.8189619779586792
listener/session0/Camera-2024-07-11-154330-154400,session0,expression,47,750,0.0006024096385542168,0.06079679662489232,0.024637534211174674,6.730070636255889e-16,0.9999998807907104
listener/session0/Camera-2024-07-11-161602-161527,session0,AU,520,750,0.0006024096385542168,0.07397157691737129,0.021895861148197596,0.0,1.0
listener/session0/Camera-2024-07-11-161602-161527,session0,VA,520,750,0.0006024096385542168,0.009977816091420694,0.03093352075541847,-0.2776046097278595,0.34809610247612
listener/session0/Camera-2024-07-11-161602-161527,session0,expression,520,750,0.0006024096385542168,0.01832072167949198,0.023200098420494135,6.971627095107177e-18,0.9998912811279297
listener/session0/Camera-2024-07-16-134902-134937,session0,AU,237,750,0.0006024096385542168,0.11469550511793504,0.008811748998664886,0.0,1.0
listener/session0/Camera-2024-07-16-134902-134937,session0,VA,237,750,0.0006024096385542168,0.05936857993575668,0.04204967227056921,-0.7404097318649292,0.7738950848579407
listener/session0/Camera-2024-07-16-134902-134937,session0,expression,237,750,0.0006024096385542168,0.06845977311825166,0.02272426329298187,1.871673456954777e-15,0.9999878406524658
listener/session0/Camera-2024-07-16-143113-143143,session0,AU,137,750,0.0006024096385542168,0.12528776145972403,0.027503337783711616,0.0,1.0
listener/session0/Camera-2024-07-16-143113-143143,session0,VA,137,750,0.0006024096385542168,0.06929441135329298,0.031144234407767753,-0.3558099567890167,0.887647271156311
listener/session0/Camera-2024-07-16-143113-143143,session0,expression,137,750,0.0006024096385542168,0.051410303395962184,0.012275454107514853,1.6283417493949425e-15,1.0
listener/session0/Camera-2024-07-16-152105-152147,session0,AU,318,750,0.0006024096385542168,0.10532004153686397,0.01833555852247441,0.0,1.0
listener/session0/Camera-2024-07-16-152105-152147,session0,VA,318,750,0.0006024096385542168,0.04937546610472892,0.0309306220965925,-0.32026156783103943,0.8071244955062866
listener/session0/Camera-2024-07-16-152105-152147,session0,expression,318,750,0.0006024096385542168,0.01450995697250836,0.017325414941562554,5.096476242615145e-20,0.9999997615814209
listener/session0/Camera-2024-07-16-160716-160749,session0,AU,461,750,0.0006024096385542168,0.1028233199821985,0.01797952825990209,0.0,1.0
listener/session0/Camera-2024-07-16-160716-160749,session0,VA,461,750,0.0006024096385542168,0.04120757098539367,0.03539833635370308,-0.6271178722381592,0.6886794567108154
listener/session0/Camera-2024-07-16-160716-160749,session0,expression,461,750,0.0006024096385542168,0.05158637522954149,0.03558654950995404,6.256511985500547e-16,0.9999983310699463
listener/session0/Camera-2024-07-17-104338-104241,session0,AU,331,750,0.0006024096385542168,0.05133256193443108,0.02412105028927459,0.0,1.0
listener/session0/Camera-2024-07-17-104338-104241,session0,VA,331,750,0.0006024096385542168,0.0028639015345170568,0.02446554943382024,-0.8031443357467651,0.18167731165885925
listener/session0/Camera-2024-07-17-104338-104241,session0,expression,331,750,0.0006024096385542168,0.00015524973305043073,0.0021672465936152527,1.2413501934125124e-17,0.9999945163726807
listener/session0/Camera-2024-07-17-112836-112807,session0,AU,143,750,0.0006024096385542168,0.0568445037828215,0.012728081886960391,0.0,1.0
listener/session0/Camera-2024-07-17-112836-112807,session0,VA,143,750,0.0006024096385542168,0.01027344005711231,0.021888046009398907,-0.38981661200523376,0.39282673597335815
listener/session0/Camera-2024-07-17-112836-112807,session0,expression,143,750,0.0006024096385542168,0.003388001160372124,0.005434388359559049,2.822990083120152e-16,0.9999982118606567
listener/session0/Camera-2024-07-17-121257-121235,session0,AU,163,750,0.0006024096385542168,0.04702091677792611,0.01281708945260347,0.0,1.0
listener/session0/Camera-2024-07-17-121257-121235,session0,VA,163,750,0.0006024096385542168,0.006841610044119159,0.03811034917314158,-0.5601858496665955,0.3126661479473114
listener/session0/Camera-2024-07-17-121257-121235,session0,expression,163,750,0.0006024096385542168,0.015220294903853276,0.03271778901849884,3.260549653622685e-13,0.999078631401062
listener/session0/Camera-2024-07-19-143058-143036,session0,AU,75,750,0.0006024096385542168,0.13620637887553774,0.029105473965287048,0.0,1.0
listener/session0/Camera-2024-07-19-143058-143036,session0,VA,75,750,0.0006024096385542168,0.03481360969037039,0.03575252567993624,-0.5224558711051941,0.8094114661216736
listener/session0/Camera-2024-07-19-143058-143036,session0,expression,75,750,0.0006024096385542168,0.006318451691881529,0.005706917119984156,1.6444412834475813e-14,0.999998927116394
listener/session0/Camera-2024-07-19-151039-150947,session0,AU,8,750,0.0006024096385542168,0.08503486129654354,0.0105028927458834,0.0,1.0
listener/session0/Camera-2024-07-19-151039-150947,session0,VA,8,750,0.0006024096385542168,0.0166614507910217,0.037481560731164924,-0.5783153176307678,0.5567667484283447
listener/session0/Camera-2024-07-19-151039-150947,session0,expression,8,750,0.0006024096385542168,0.05480523254028101,0.03839688536968719,2.8291599748694884e-13,0.999605119228363
listener/session0/Camera-2024-07-22-103025-103101,session0,AU,0,746,0.0006024096385542168,0.03735454114711724,0.01727069351230425,0.0,1.0
listener/session0/Camera-2024-07-22-103025-103101,session0,VA,0,746,0.0006024096385542168,0.024041538563256422,0.024946674859563776,-0.6923081874847412,0.621634304523468
listener/session0/Camera-2024-07-22-103025-103101,session0,expression,0,746,0.0006024096385542168,0.04815105773426899,0.033706280919823285,1.1635291373364746e-15,0.9999984502792358
listener/session0/Camera-2024-07-22-111042-111140,session0,AU,23,750,0.0006024096385542168,0.07765186174158137,0.021806853582554516,0.0,1.0
listener/session0/Camera-2024-07-22-111042-111140,session0,VA,23,750,0.0006024096385542168,0.020048914592176163,0.038123924305068155,-0.608944833278656,0.33890920877456665
listener/session0/Camera-2024-07-22-111042-111140,session0,expression,23,750,0.0006024096385542168,0.05690483584042899,0.031565500659268664,5.831790779453616e-12,0.9999861717224121
listener/session0/Camera-2024-07-22-135929-140003,session0,AU,0,660,0.0006024096385542168,0.12145353382075694,0.02013151239251391,0.0,1.0
listener/session0/Camera-2024-07-22-135929-140003,session0,VA,0,660,0.0006024096385542168,0.10631519337843408,0.03879119558697948,-0.7114330530166626,0.9473744034767151
listener/session0/Camera-2024-07-22-135929-140003,session0,expression,0,660,0.0006024096385542168,0.05828928369471123,0.0224519097658379,4.828144974073452e-16,1.0
listener/session0/Camera-2024-07-22-143349-143428,session0,AU,0,744,0.0006024096385542168,0.08509288605237889,0.01579183490354419,0.0,1.0
listener/session0/Camera-2024-07-22-143349-143428,session0,VA,0,744,0.0006024096385542168,0.03473556469199274,0.04152969806925124,-0.6025788187980652,0.6917593479156494
listener/session0/Camera-2024-07-22-143349-143428,session0,expression,0,744,0.0006024096385542168,0.05813511995593822,0.028720145276596425,1.0222530414595219e-15,0.9999996423721313
listener/session0/Camera-2024-07-22-155059-155140,session0,AU,0,637,0.0006024096385542168,0.04914875480913219,0.006813417190775681,0.0,1.0
listener/session0/Camera-2024-07-22-155059-155140,session0,VA,0,637,0.0006024096385542168,0.02997646418658977,0.03799371742906998,-0.26557648181915283,0.9599964022636414
listener/session0/Camera-2024-07-22-155059-155140,session0,expression,0,637,0.0006024096385542168,0.022427947713419327,0.0022333333774403113,3.670665981320978e-15,1.0
listener/session0/Camera-2024-07-24-095443-095420,session0,AU,103,750,0.0006024096385542168,0.07043987538940812,0.013529149977748109,0.0,1.0
listener/session0/Camera-2024-07-24-095443-095420,session0,VA,103,750,0.0006024096385542168,0.05213669879948667,0.03807782115680831,-0.660851001739502,0.7380977869033813
listener/session0/Camera-2024-07-24-095443-095420,session0,expression,103,750,0.0006024096385542168,0.06132229711858994,0.03169188497294421,7.907464498563945e-18,0.9999980926513672
listener/session0/Camera-2024-07-24-103011-103000,session0,AU,327,750,0.0006024096385542168,0.000266429313158285,0.00035603026257231867,0.0,1.0
listener/session0/Camera-2024-07-24-103011-103000,session0,VA,327,750,0.0006024096385542168,0.013042185258754875,0.040831021054365604,-0.5138984322547913,0.5234760642051697
listener/session0/Camera-2024-07-24-103011-103000,session0,expression,327,750,0.0006024096385542168,0.014795445773379299,0.020709276126154256,7.962594472665785e-11,0.999935507774353
listener/session0/Camera-2024-07-24-110700-110644,session0,AU,255,750,0.0006024096385542168,0.02554517133956385,0.008722741433021807,0.0,1.0
listener/session0/Camera-2024-07-24-110700-110644,session0,VA,255,750,0.0006024096385542168,0.008710118654339795,0.032521942816923395,-0.49373582005500793,0.43647900223731995
listener/session0/Camera-2024-07-24-110700-110644,session0,expression,255,750,0.0006024096385542168,0.03588280878911464,0.013620296311603849,3.30585090564033e-20,0.9999986886978149
listener/session0/Camera-2024-07-24-114427-114339,session0,AU,29,750,0.0006024096385542168,0.07334140335261832,0.0315086782376502,0.0,1.0
listener/session0/Camera-2024-07-24-114427-114339,session0,VA,29,750,0.0006024096385542168,0.043964756440928426,0.043850549659598496,-0.6412491202354431,0.7454596757888794
listener/session0/Camera-2024-07-24-114427-114339,session0,expression,29,750,0.0006024096385542168,0.0537841778405838,0.029385950413993476,7.567654083950621e-15,0.9999992847442627
listener/session0/Camera-2024-07-25-155256-155217,session0,AU,92,750,0.0006024096385542168,0.017576264649161847,0.017267467734757454,0.0,1.0
listener/session0/Camera-2024-07-25-155256-155217,session0,VA,92,750,0.0006024096385542168,0.0078116384158617306,0.029832286334960895,-0.22445803880691528,0.5694817304611206
listener/session0/Camera-2024-07-25-155256-155217,session0,expression,92,750,0.0006024096385542168,0.011605609354042921,0.009269301104740888,4.188693180158647e-21,0.9999868869781494
listener/session0/Camera-2024-07-25-162817-162715,session0,AU,275,750,0.0006024096385542168,0.0298765168372645,0.014152202937249666,0.0,1.0
listener/session0/Camera-2024-07-25-162817-162715,session0,VA,275,750,0.0006024096385542168,0.011565099309607313,0.0232489330542382,-0.24588310718536377,0.7796640992164612
listener/session0/Camera-2024-07-25-162817-162715,session0,expression,275,750,0.0006024096385542168,0.009850651996186292,0.00220815869175829,2.0681018714589007e-18,0.9999983310699463
listener/session0/Camera-2024-07-26-103222-103252,session0,AU,25,750,0.0006024096385542168,0.0900510903426792,0.025011125945705384,0.0,1.0
listener/session0/Camera-2024-07-26-103222-103252,session0,VA,25,750,0.0006024096385542168,0.040043060688615933,0.053116365237651425,-0.7332119941711426,0.5639059543609619
listener/session0/Camera-2024-07-26-103222-103252,session0,expression,25,750,0.0006024096385542168,0.05935551654753633,0.04619187071661083,3.236204923831587e-12,0.9999877214431763
listener/session0/Camera-2024-07-26-110838-110914,session0,AU,67,750,0.0006024096385542168,0.10804521584334668,0.018691588785046728,0.0,1.0
listener/session0/Camera-2024-07-26-110838-110914,session0,VA,67,750,0.0006024096385542168,0.026991854382841053,0.04111934655180601,-0.4593556821346283,0.7267961502075195
listener/session0/Camera-2024-07-26-110838-110914,session0,expression,67,750,0.0006024096385542168,0.03980064589852855,0.029068731114429078,1.4309541507447066e-13,0.9999502897262573
listener/session0/Camera-2024-07-26-120608-120642,session0,AU,73,750,0.0006024096385542168,0.014383741284675877,0.006853582554517134,0.0,1.0
listener/session0/Camera-2024-07-26-120608-120642,session0,VA,73,750,0.0006024096385542168,0.009765060995181611,0.029988097487010052,-0.2123497724533081,0.7805976271629333
listener/session0/Camera-2024-07-26-120608-120642,session0,expression,73,750,0.0006024096385542168,0.002417828549587992,0.001537538659158701,2.4198160056938204e-15,0.9999991655349731
listener/session0/Camera-2024-07-29-135410-135329,session0,AU,0,723,0.0006024096385542168,0.09812862942826965,0.029547553093259463,0.0,1.0
listener/session0/Camera-2024-07-29-135410-135329,session0,VA,0,723,0.0006024096385542168,0.02460212387283546,0.03606318575110792,-0.25351330637931824,0.787059485912323
listener/session0/Camera-2024-07-29-135410-135329,session0,expression,0,723,0.0006024096385542168,0.021952827428230674,0.014323588218925367,9.286532405750717e-17,0.9999979734420776
listener/session0/Camera-2024-07-29-150955-150932,session0,AU,0,724,0.0006024096385542168,0.107422648112912,0.029598893499308436,0.0,1.0
